Item,Descrição,Embalagem,TIPO
2571,BISCOITAO DA ROCA KG - 1,,PRODUTO
2583,BISCOITAO TRADICIONAL KG  - 1,,PRODUTO
1901,BOLINHA DE MILHO MINI KG  - 1,,PRODUTO
8805,BOLINHA DE PIZZA MINI BDJ CONG - 300g,,PRODUTO
1885,BOLINHA DE PIZZA MINI KG - 1,,PRODUTO
5336,BOLINHA DE QUEIJO ALVORADA CONG - 1kg,,PRODUTO
1903,BOLINHA DE QUEIJO KG - 1,,PRODUTO
8121,BOLINHO DE BACALHAU BANDEJA ALVORADA UND - 400g,,PRODUTO
2135,BOLINHO DE BACALHAU KG - 1,,PRODUTO
9753,BOLINHO DE QUEIJO MINI BDJ CONG - 300g,,PRODUTO
4380,BROA AEROSA KG - 1,,PRODUTO
5337,COXINHA DE FRANGO MINI ALVORADA CONG 1KG - 1kg,,PRODUTO
7202,COXINHA DE FRANGO MINI BDJ CONG - 300g,,PRODUTO
1904,COXINHA DE FRANGO MINI KG - 1,,PRODUTO
8966,KIT PETISCO (COXINHA+BOLINHO QUEIJO) BDJ - 300g,,PRODUTO
8808,KIT PETISCO(QUIBE+BOLINHA PIZZA)BDJ CONG - 300g,,PRODUTO
4378,MINI BISCOITO DE QUEIJO KG  - 1,,PRODUTO
5695,MINI SALGADINHO ASSADO/FRITO ALVORADA KG - 1,,PRODUTO
2833,PALITINHO DE TAPIOCA ALVORADA KG - 1,,PRODUTO
1873,PAO DE QUEIJO 3 QUEIJOS ALVORADA KG - 1,,PRODUTO
1966,PAO DE QUEIJO 3 QUEIJOS C. ALVORADA 400G - 400g,,PRODUTO
2572,PAO DE QUEIJO C/FRANGO BANDEJA UN - 570g,,PRODUTO
2248,PAO DE QUEIJO COQUETEL ALVORADA CONG400G - 400g,,PRODUTO
1967,PAO DE QUEIJO LANCHE ALVORADA  CONG 1KG - 1kg,,PRODUTO
1868,PAO DE QUEIJO LANCHE ALVORADA KG - 1,,PRODUTO
2570,PAO DE QUEIJO RECH. C/FRANGO ALVORADA KG - 1,,PRODUTO
1978,PAO DE QUEIJO TRAD ALVORADA CONG 1KG  - 1kg,,PRODUTO
1959,PAO DE QUEIJO TRAD. ALVORADA CONG 400G - 400g,,PRODUTO
569,PAO DE QUEIJO TRADICIONAL ALVORADA KG  - 1,,PRODUTO
1864,PAO DE QUEIJO TRADICIONAL ALVORADA KG - 1,,PRODUTO
2227,PELE DE PORCO KG - 1,,PRODUTO
1923,QUIBE DE CARNE C/ REQUEIJAO MINI  KG - 1,,PRODUTO
1875,QUIBE DE CARNE MINI  KG - 1,,PRODUTO
5338,QUIBE DE CARNE MINI ALVORADA CONG - 1KG - 1kg,,PRODUTO
8803,QUIBE DE CARNE MINI BDJ CONG - 300g,,PRODUTO
2939,MASSA P/ PIZZA (MONTAGEM) UN - 260g,,PRODUTO
1922,MASSA P/ PIZZA 30CM (LOJA) - 260g,,PRODUTO
7943,PIZZA ASSADA ALVORADA SABORES KG - 1,,PRODUTO
2511,PIZZA ATUM PREMIUM 800G - 800g,,PRODUTO
2491,PIZZA CALABRESA ALVORADA - 800g,,PRODUTO
4169,PIZZA CALABRESA ALVORADA-460G  - 500g,,CONFEITARIA
2862,PIZZA CALABRESA GOURMET UN 720G - 720g,,CONFEITARIA
4171,PIZZA DA CASA ALVORADA 460G - 500g,,CONFEITARIA
2922,PIZZA DA CASA GOURMET UN 720G - 720g,,CONFEITARIA
4174,PIZZA FRANGO C/REQUEIJAO ALVORADA 460G  - 500g,,CONFEITARIA
2856,PIZZA FRANGO C/REQUEIJAO GOURMET UN - 720g,,CONFEITARIA
4543,PIZZA LOMBO ALVORADA UN 460G - 500g,,CONFEITARIA
4558,PIZZA LOMBO GOURMET UN 750G - 750g,,CONFEITARIA
4536,PIZZA MARGUERITA ALVORADA 500G - 500g,,PRODUTO
4554,PIZZA MARGUERITA GOURMET UN 750G - 750g,,PRODUTO
4573,PIZZA MISTA ALVORADA UN 460G - 500g,,CONFEITARIA
4553,PIZZA MISTA GOURMET UN 750G - 750g,,CONFEITARIA
2503,PIZZA NAPOLITANA ALVORADA - 800g,,PRODUTO
4175,PIZZA PORTUGUESA ALVORADA - 500g,,PRODUTO
2921,PIZZA PORTUGUESA GOURMET UN 720G - 720g,,PRODUTO
4176,PIZZA PRESUNTO E QUEIJO ALVORADA 460G  - 500g,,CONFEITARIA
2860,PIZZA PRESUNTO E QUEIJO GOURMET UN 750G - 750g,,CONFEITARIA
4177,PIZZA QUATRO QUEIJOS ALVORADA 460G - 500g,,CONFEITARIA
2857,PIZZA QUATRO QUEIJOS GOURMET UN 720G - 720g,,CONFEITARIA
2172,BRIOCHE C/COCO UN - 275g,,PRODUTO
2495,BRIOCHE TRADICIONAL UN - 225g,,PRODUTO
8470,BROA CASTANHA DE CAJU KG - 1,,PRODUTO
255563,PAO BRIOCHE ALVORADA UN - 400g,,PRODUTO
2175,PAO DE BATATA ALVORADA C/4UN  - 200g,,PRODUTO
5363,PAO DE CEBOLA ALVORADA UN - 200g,,PRODUTO
2555,PAO DE FORMA 52% INTEGRAL UN - 400g,,PRODUTO
5370,PAO DE FORMA P/TORTA UN - 400g,,PRODUTO
2916,PAO DE FORMA TRADICIONAL UN - 500g,,PRODUTO
2854,PAO DE FUBA KG - 1,,PRODUTO
2250,PAO DE HAMBURGUER C/GERGELIM C/4UN - 260g,,PRODUTO
